slug	source	registry_row	confidence	notes
buhocleaner	custom		high	"CUSTOM: build number in URL, marketing version from Sparkle appcast. Appcast https://drbuho.net/buhocleaner/appcast.xml -> latest sparkle:shortVersionString=1.16.2, sparkle:version(build)=256, enclosure https://drbuho.net/buhocleaner/buhocleaner_b256.dmg (verified 200, ~28.2MB, dmg). The dmg filename embeds the BUILD (b256), not the marketing version (1.16.2 does not appear in the URL) -> needs version.csv ""1.16.2,256"" with url .../buhocleaner_b{version.csv.second}.dmg and a :sparkle livecheck. An unversioned alias https://www.drbuho.com/download/buhocleaner.dmg -> drbuho.net/buhocleaner/buhocleaner.dmg also works (same size) if :latest preferred. homepage https://www.drbuho.com/buhocleaner 200. bundle com.drbuho.BuhoCleaner, Team S7F733N4B5. min macOS 10.10. artifact dmg."
catalyst-browse	review		low	Sony Catalyst Browse. Distributed via Sony Creators' Cloud / support.d-imaging.sony.co.jp through a JS-driven portal (sony.net/catalyst -> creatorscloud.sony.net). Could not extract a verifiable direct .dmg URL: Sony pages 403/blocked to automated fetch, download portal is JS-rendered, release-notes link redirects to a readme PDF (di.update.sony.net/NEX/8099393523/Catalyst_Browse_readme.pdf) whose text could not be parsed (no version extracted; PDF rendering unavailable in env). Latest is ~2026.1 per third-party trackers (unverified). No fabrication -> review. dmg artifact historically (e.g. catalystbrowse_<ver>_suite.dmg).
changes	github_tag	changes | Changes | Native Git client with a low-cognitive-load interface | zip | github_tag | https://github.com/maoyama/Changes | repo=maoyama/Changes;asset=Changes.zip	high	"Open-source Git client by maoyama (bundle dev.aoyama.changes, Team JRA6VW2DG4). GitHub tag v2.1, asset Changes.zip verified live (206). NOTE input source_detail bitbq_changes.s3.amazonaws.com is a DIFFERENT, stale ""Changes"" (old Comparometric/BitCave text-diff app); the appcatalog slug maps to maoyama/Changes (confirmed by bundle id dev.aoyama.changes). livecheck :github_latest (plain semver tag). homepage 200."
claroread	review		low	ClaroRead Mac (Claro Software / Texthelp) — commercial assistive text-to-speech with a 15-day trial. Could not extract a verified direct trial .dmg/.pkg URL: product pages (clarosoftware.com/portfolio/claroreadmac/, /help/claroread-mac/) return HTTP 500 intermittently; the /download/ page only exposed a ClaroStava voices pkg (s3 fastdownloads2.texthelp.com/claroread/mac/clarostava/ClaroStava_10.0.7_sv_Voices_Network.pkg), not the ClaroRead app; guessed S3 keys 403. Trial download likely behind a form/redirect. No fabrication -> review. Host: s3 fastdownloads2.texthelp.com.
comic-life-4	custom		high	"CUSTOM: build + marketing version in a dated URL path. plasq.com/downloads/comiclife4-mac redirects (206) to https://plasq.com/download/2026/4.2/ComicLife-Release-4.2-521.zip (verified, application/zip) -> marketing 4.2, build 521. URL has year + marketing version + build, all variable; needs version.csv (e.g. ""4.2,521"") with url https://plasq.com/download/2026/{version.csv.first}/ComicLife-Release-{version.csv.first}-{version.csv.second}.zip plus a :header_match livecheck on the stable /downloads/comiclife4-mac redirect. 30-day trial (commercial). bundle com.plasq.comiclife4, Team RM33QGZJ9T. min macOS 11.3. artifact zip (delivers Comic Life 4.app). Note third-party trackers list 4.2.1 but the live download serves 4.2 build 521."
dinoxcope	direct_latest	dinoxcope | Dinoxcope | Image capture and analysis for Dino-Lite USB microscopes | dmg | direct_latest | https://www.dinolite.us/features/dinoxcope/ | url=https://files.dinolite.us/downloads/software/dnx/latest/DinoXcope.dmg	high	"Live: files.dinolite.us/downloads/software/dnx/latest/DinoXcope.dmg 200 (application/octet-stream); homepage 200. UNVERSIONED (""/latest/"" path + plain filename) -> version :latest, sha256 :no_check. Current version 2.7 (2025-08-20) is known but the URL is a fixed latest alias. Free for Dino-Lite users. Download host differs from homepage -> verified: ""files.dinolite.us/"". bundle com.anmo.DinoXcope, Team TDSK62KZ54. min macOS 10.14."
egnyte-connect	review		low	Egnyte Desktop App (Egnyte Connect / Egnyte Drive, bundle com.egnyte.Egnyte-Drive, Team FELUD555VC). Could not verify a real direct download URL: helpdesk.egnyte.com installer article 403s to automated fetch; egnyte-cdn.egnyte.com paths return a 6612-byte text/html GCS error page (NOT a dmg) for every guessed path -> all false positives. Download appears gated behind Egnyte helpdesk/account. No fabrication -> review. artifact dmg/pkg per docs.
egnyte-desktop-app-core	review		low	"Egnyte ""Desktop App Core"" for Mac, current version ~1.18.0 (per Egnyte helpdesk search; unverified). Same blocker as egnyte-connect: helpdesk article 403s; egnyte-cdn.egnyte.com returns a 6612-byte HTML error page for guessed paths, not a real file. No verifiable direct .dmg URL obtained. No fabrication -> review. artifact dmg per docs."
exiftool	direct	exiftool | Exiftool | Command-line tool to read and write image and media metadata | pkg | direct | https://exiftool.org/ | url=https://exiftool.org/ExifTool-{v}.pkg;vers=https://exiftool.org/;vregex=Version (\d+\.\d+)	high	"Live: exiftool.org/ExifTool-13.59.pkg 200 (application/vnd.apple.installer+xml); homepage 200. Version 13.59 (page text ""Download Version 13.59""; pkg filename ExifTool-13.59.pkg). Same host as homepage -> no verified:. Installs CLI to /usr/local/bin (no .app bundle); bundle id org.exiftool.exiftool (appcatalog). artifact pkg. NOTE: vregex uses two-part version (13.59) — exiftool versions are MAJOR.MINOR only. The ""14.0"" elsewhere on the page is a Perl module ref, not the distribution."
filezilla	ineligible		med	FileZilla Client current version 3.70.6 (2026-06-08), but macOS distribution is .app.tar.bz2 (a bzip2 tarball, e.g. dl.cdn.filezilla-project.org/client/FileZilla_3.70.6_macos-*.app.tar.bz2), NOT zip/dmg/pkg. Per FMA rules artifact must be zip|dmg|pkg -> NOT eligible. (download.php is JS-driven; CDN redirects unknown paths to the homepage, so exact filename not extractable, but the registry's own worked example confirms the .app.tar.bz2 format.) Now ships separate Intel + Apple-silicon builds. homepage filezilla-project.org.
flashprint-5	custom		med	"CUSTOM: pkgInZip — the versioned zip contains FlashPrint-5.8.7.pkg (PKG nested in ZIP), needs nested_container handling not a plain zip artifact. Outer URL is version-stamped but carries a non-standard ""_mac (new)"" literal (URL-encoded spaces+parens) that is not cleanly derivable. Version 5.8.7 (final FlashPrint 5 release; line is EOL, superseded by Flash Studio Desktop). Verified live: https://flashforge-resource.oss-us-east-1.aliyuncs.com/FlashPrint_5.8.7/FlashPrint_5.8.7_mac%20%28new%29.zip (206, application/zip, ~38MB). artifact pkg (inner). homepage https://www.flashforge.com/pages/download-center (200). Livecheck would be page_match on the FlashForge software download page."
flinto	direct	flinto | Flinto | Designs interactive and animated app prototypes | dmg | direct | https://www.flinto.com/ | url=https://s3.amazonaws.com/flinto-assets/assets/Flinto-{v}.dmg;vers=https://www.flinto.com/download_latest;vregex=Flinto-(\d+(?:\.\d+)+)\.dmg	med	Versioned universal dmg, templatable. Version 31.1. https://www.flinto.com/download_latest 200-redirects to https://s3.amazonaws.com/flinto-assets/assets/Flinto-31.1.dmg (206, apple-diskimage) — the redirect Location filename exposes the version, so livecheck is :header_match on /download_latest (vregex captures version). download host (s3.amazonaws.com) != homepage -> verified: added automatically (s3.amazonaws.com/flinto-assets/). homepage 200.
folder-tidy	direct	folder-tidy | Folder Tidy | Sorts and organizes files into subfolders by type using rules | dmg | direct | https://www.tunabellysoftware.com/folder_tidy/ | url=https://www.tunabellysoftware.com/resources/Folder%20Tidy%20{v}.dmg;vers=https://www.tunabellysoftware.com/latest/Folder_Tidy.dmg;vregex=[0-9]+(\.[0-9]+)+	med	Versioned dmg with a space in the filename, templatable. Version 2.9.7. vregex kept pipe-free ([0-9]+(\.[0-9]+)+) to capture the version from the redirected filename Folder%20Tidy%202.9.7.dmg. Stable alias https://www.tunabellysoftware.com/latest/Folder_Tidy.dmg 302s to https://www.tunabellysoftware.com/resources/Folder%20Tidy%202.9.7.dmg (206) — version exposed only via the redirect Location, so livecheck is :header_match on the /latest/ alias (vregex on redirected filename). Also on Mac App Store (id486626129) but a real direct dmg exists. download host == homepage host -> no verified:. homepage 200.
foldr	custom		med	"CUSTOM: dmgInZip (appInDmgInZip) — the macOS download is an UNVERSIONED outer zip whose only entry is foldr.3.12.0.dmg (DMG nested in ZIP), needs nested_container handling; version lives only inside the archive, not in the URL. Version 3.12.0. Verified live: https://foldr-downloads-us.us-east-1.linodeobjects.com/clients/macos/latest.zip (206, ~41MB; inner foldr.3.12.0.dmg) — a sibling latest-pkg.zip holds foldr.3.12.0.pkg. foldr.com/downloads 302s to this Linode object store. artifact dmg (inner). homepage https://foldr.com/ (200). Livecheck has no versioned source (only ""latest"" aliases) — likely needs a sha256 :no_check / version from the inner filename on Mac."
fontagent	direct_latest	fontagent | FontAgent | Organizes, activates, and manages font libraries with previews | dmg | direct_latest | https://www.insidersoftware.com/fontagent-mac/ | url=https://store.insidersoftware.com/_downloads/FontAgent10.dmg	med	"Major-series-stamped dmg (filename carries only the major ""10"", not the full patch version) -> treat as version :latest + sha256 :no_check. Full version is 10.2.6 (not in URL). Verified live: https://store.insidersoftware.com/_downloads/FontAgent10.dmg (206). 30-day trial then license required. download host (store.insidersoftware.com) != homepage (www.insidersoftware.com) -> verified: insidersoftware.com/. homepage 200. Livecheck via insidersoftware.com release info (page_match) on Mac."
goto	electron	goto | GoTo | Client for online meetings and screen sharing | dmg | electron | https://www.goto.com/meeting | feed=https://goto-desktop.getgo.com/latest-mac.yml;arm=GoTo-{v}-arm64;intel=GoTo-{v}	high	"Electron app; latest-mac.yml feed lists version 4.18.0 and four assets. Arch-split dmgs verified live (206): intel GoTo-4.18.0.dmg, arm GoTo-4.18.0-arm64.dmg at https://goto-desktop.getgo.com/. livecheck :electron_builder. NOTE: this duplicates the commented worked example ""goto-desktop"" in cask-master.sh (same app/feed); the no-homebrew-cask token here is ""goto"" (neither goto nor goto-desktop exists in homebrew-cask — both 404). homepage https://www.goto.com/meeting returns 200 to a curl/brew UA (403 only to a full browser UA due to inverted bot-protection) — same homepage the worked example uses."
grab2text	direct_latest	grab2text | Grab2Text | Extracts text and QR codes from images, PDFs, and video | dmg | direct_latest | https://www.softwarehow.com/grab2text/ | url=https://www.softwarehow.com/downloads/Grab2Text.dmg	med	Unversioned vendor dmg (filename has no version) -> version :latest + sha256 :no_check. Version 1.2.5 (not in URL). Verified live: https://www.softwarehow.com/downloads/Grab2Text.dmg (206). Also on Mac App Store (id6475956137); free app. download host == homepage host -> no verified:. homepage 200. Livecheck via softwarehow.com/grab2text page (page_match) on Mac.
houdahgeo	direct	houdahgeo | HoudahGeo | Geotags and maps photos with GPS tracks and reverse geocoding | zip | direct | https://www.houdah.com/houdahGeo/ | url=https://dl.houdah.com/houdahGeo/updates/cast_assets/HoudahGeo{v}.zip;vers=https://www.houdah.com/houdahGeo/updates/cast6.xml;vregex=HoudahGeo(\d+(?:\.\d+)+)\.zip	high	Sparkle app; latest appcast item is shortVersionString 6.5.1, enclosure https://dl.houdah.com/houdahGeo/updates/cast_assets/HoudahGeo6.5.1.zip (206, application/zip). Version is in the enclosure filename and templatable. Livecheck :sparkle on https://www.houdah.com/houdahGeo/updates/cast6.xml (vregex/strategy on Mac). download host (dl.houdah.com) != homepage (www.houdah.com) -> verified: houdah.com/. homepage 200.
hunchly	review		high	"GATED: download requires a Maltego ID account (downloads page states ""You need to have Maltego ID to download Hunchly... login or sign up""). No anonymous/public direct dmg URL is exposed; downloadmirror.hunch.ly/Hunchly.dmg 404s. https://hunch.ly/downloads is a JS app behind auth. Not FMA-eligible without authenticated download. No URL fabricated."
ib-eassessment-player	review		high	GATED / no public download: eassessment-admin.ibo.org is an authenticated IB admin portal (eAssessments, Wrap and Deploy, Admin System, Logout) with no public installer. The IB Exam/eAssessment Player is distributed only to participating schools via the IB portal; no anonymous macOS dmg/pkg URL exists. Not FMA-eligible. No URL fabricated.
imanage-work-desktop	custom		med	CUSTOM: pkgInZip with an UNVERSIONED enclosure URL — the Sparkle appcast enclosure is iManage Work Desktop for Mac.pkg.zip (a PKG nested in a ZIP, filename has spaces and no version), so url cannot be templated; version comes from the appcast, not the URL. Version 10.8.4 (sparkle:shortVersionString; sparkle:version 108441). Verified live: https://updates.imanage.com/autoupdates/iManage%20Work%20Desktop%20for%20Mac.pkg.zip (206, x-zip-compressed, ~172MB). Livecheck :sparkle https://updates.imanage.com/autoupdates/appcast.xml. artifact pkg (inner). homepage https://docs.imanage.com/work-mac-help/10.4.1/en/ (200).
jamf-compliance-editor	github_tag	jamf-compliance-editor | Jamf Compliance Editor | Builds and tailors security compliance baselines for devices | pkg | github_tag | https://github.com/Jamf-Concepts/jamf-compliance-editor | repo=Jamf-Concepts/jamf-compliance-editor;asset=JamfComplianceEditor-{v}.pkg	med	"GitHub releases. Latest tag v1.5 but the asset is JamfComplianceEditor-1.5.0.pkg -> cask version is 1.5.0 (NOT the tag string). Verified live: https://github.com/Jamf-Concepts/jamf-compliance-editor/releases/download/v1.5/JamfComplianceEditor-1.5.0.pkg (206). TAG/VERSION SKEW: :github_latest yields tag ""v1.5""->""1.5"" which won't match the asset's ""1.5.0""; needs a livecheck strategy block mapping tag v1.5 -> 1.5.0 (or :github_latest with a regex) on Mac. github.com homepage -> no verified:. homepage 200."
joan-configurator	custom		med	CUSTOM: arch-split with UNVERSIONED stable aliases and header-only version — the two macOS downloads are https://configurator.getjoan.com/download/flavor/joan/latest/osx_arm64 (arm) and .../latest/osx_64 (intel); both 200 and serve the version only via Content-Disposition (joan-configurator-2.1.4-arm64-mac.dmg / joan-configurator-2.1.4-x64-mac.dmg), so url cannot template {v} and livecheck must be :header_match. Version 2.1.4. Also on Mac App Store (id1574106143) but real desktop dmgs exist. artifact dmg. homepage https://support.getjoan.com/knowledge/what-is-the-joan-configurator (200). Needs arch mapping + header_match version on Mac.
ledger-live	electron	ledger-live | Ledger Live | Manages crypto assets and Ledger hardware wallets | dmg | electron | https://www.ledger.com/ledger-live | feed=https://download.live.ledger.com/latest-mac.yml;universal=ledger-live-desktop-{v}-mac	high	Electron app; latest-mac.yml feed lists version 4.6.1 with a single universal dmg ledger-live-desktop-4.6.1-mac.dmg (+ matching zip). Verified live: https://download.live.ledger.com/ledger-live-desktop-4.6.1-mac.dmg (200, apple-diskimage); stable alias download.live.ledger.com/latest/mac 302s to it. livecheck :electron_builder. No ledger-live cask exists (404). download host != homepage -> verified: download.live.ledger.com/. homepage 200.
microsoft-advertising-editor	direct_latest	microsoft-advertising-editor | Microsoft Advertising Editor | Bulk-edits and manages Microsoft Advertising campaigns offline | dmg | direct_latest | https://about.ads.microsoft.com/en/tools/productivity/microsoft-advertising-editor | url=https://prod.editor.ads.microsoft.com/download/production-mac/c/MicrosoftAdvertisingEditor.dmg	med	"Unversioned vendor dmg (filename MicrosoftAdvertisingEditor.dmg, no version; no version in headers) -> version :latest + sha256 :no_check. Stable alias https://aka.ms/baemacproddownload 200-redirects to https://prod.editor.ads.microsoft.com/download/production-mac/c/MicrosoftAdvertisingEditor.dmg (206, apple-diskimage). Free Microsoft tool; dmg drags ""Microsoft Advertising Editor.app"". download host != homepage -> verified: prod.editor.ads.microsoft.com/. homepage 200. No reliable version source -> :no_check."
microsoft-defender	review		high	NOT FMA-eligible: Microsoft Defender for Endpoint on macOS is an enterprise/licensed product that is non-functional without org onboarding (a tenant-specific WindowsDefenderATPOnboarding blob). The standalone installer go.microsoft.com/fwlink/?linkid=2097502 -> wdav.pkg (200, ~455MB) is unversioned and exposes NO version in URL or headers (only last-modified). Homebrew-cask does not carry MDE. Gated/no-clean-version -> review. No URL fabricated beyond the verified unversioned installer.
mindview-9	direct_latest	mindview-9 | MindView 9 | Mind mapping with timelines, outlines, and Office export | dmg | direct_latest | https://www.matchware.com/mind-mapping-software-mac | url=https://link.matchware.com/mindview9_mac	low	"Build-stamped dmg behind a stable alias (no clean semver in the file) -> version :latest + sha256 :no_check. Stable alias https://link.matchware.com/mindview9_mac 302s to https://cdn.matchware.com/download/mindview9/mindview9_mac_b937.dmg (206) — the only version token is the build ""b937""; marketing version is 9.0.x (service-pack based). Use the alias as the url. download host (link/cdn.matchware.com) != homepage (www.matchware.com) -> verified: matchware.com/. homepage 200. Commercial trial."
movie-magic-budgeting	direct_latest	movie-magic-budgeting | Movie Magic Budgeting | Creates and manages film and TV production budgets | dmg | direct_latest | https://www.ep.com/support/movie-magic-budgeting/ | url=https://updates.ep.com/mmb/Movie%20Magic%20Budgeting.dmg	med	Unversioned vendor dmg (filename has spaces, no version) -> version :latest + sha256 :no_check. Public direct link verified live: https://updates.ep.com/mmb/Movie%20Magic%20Budgeting.dmg (206, octet-stream). Version ~10.26 (not in URL). Installer is public; the app itself requires an EP license/account to use (the dmg download is not gated). download host (updates.ep.com) != homepage (www.ep.com) -> verified: ep.com/. homepage 200.
nightowl	direct	nightowl | NightOwl | Menu bar toggle for switching between light and dark mode | zip | direct | https://nightowl.kramser.xyz/ | url=https://darkmenu.s3.amazonaws.com/NightOwl-{v}.zip;vers=https://darkmenu.s3.amazonaws.com/appcast.xml;vregex=NightOwl-(\d+(?:\.\d+)+)\.zip	high	Sparkle app; appcast latest item is shortVersionString 1.2.1, enclosure https://darkmenu.s3.amazonaws.com/NightOwl-1.2.1.zip (206, application/zip). Version is in the enclosure filename and templatable. Livecheck :sparkle on https://darkmenu.s3.amazonaws.com/appcast.xml. download host (darkmenu.s3.amazonaws.com) != homepage (nightowl.kramser.xyz) -> verified: darkmenu.s3.amazonaws.com/. homepage 200.
password-depot	review		med	UNVERIFIABLE direct download: www.password-depot.de / .com return HTTP 503 to all automated requests (Cloudflare/anti-bot) for the download page, root, and probed dmg paths, so no public direct macOS dmg URL could be verified live without fabricating it. The macOS edition is primarily distributed via the Mac App Store (id1499609087, free); third-party trackers list v17.2.3 / store v19 but no confirmable vendor dmg URL. Routed to review per the no-fabrication rule. Re-check on a non-blocked egress / Mac.
phraseexpress	direct_latest	phraseexpress | PhraseExpress | Text expander that inserts canned responses and boilerplate text | dmg | direct_latest | https://www.phraseexpress.com/ | url=https://www.phraseexpress.com/PhraseExpressSetup.dmg	med	Verified live: https://www.phraseexpress.com/PhraseExpressSetup.dmg returns 200 application/x-apple-diskimage (~12.3MB). URL is unversioned (no {v}); current version shown on /mac/download/ is 7.0.38 (03/10/2026) but only rendered via JS, not in static HTML, and the download filename never carries a version -> direct_latest (version :latest + sha256 :no_check). Same host as homepage so no verified: needed. Free 30-day trial then freeware; download is ungated.
pix-3	review		low	"PIX (bundle com.electron.pix, dev ID 7D45HCDK89) = Autodesk PIX / PIX System production-management app (Electron). No verifiable public direct download: pixsystem.com redirects to autodesk.com, px.pixsystem.com does not resolve, updates.pixsystem.com 503, help.pix.online refused. App is gated behind a PIX/Autodesk account (""Login""/""Start Trial""). Also has a Mac App Store listing (id438296952). No public versioned installer URL could be confirmed -> review."
prisma-access-browser	custom		high	Public, ungated release-manager API resolves a real versioned pkg. appid={dfef2477-4f0e-454b-bc0d-03ce61074e4c}. Current version 149.18.3.103. Resolved URL (verified 200, 553MB, sha256 00db306081f4db880fc083206e3b03f6686d2b2d4ae61e9336d11c5574a8b75f): https://updates.talon-sec.com/releases/Prisma%20Access%20Browser/mac/packaged/universal/Prisma%20Access%20Browser-149.18.3.103-8711916a.pkg . CUSTOM: filename carries a per-build hash suffix (-8711916a) not derivable from version; resolve via redirect endpoint https://release-manager.us.gs.talon-sec.com/api/v1/latest?appid=%7Bdfef2477-4f0e-454b-bc0d-03ce61074e4c%7D&platform=mac&architecture=universal&channel=packaged&redirect=true (redirect=false returns JSON with nextversion + sha256 for livecheck :json). bundle id com.talon-sec.Work. Homepage https://www.paloaltonetworks.com/sase/prisma-browser (200).
python-3	review		high	homebrew-core already provides Python as formulae (python@3.14 and python@3.13 both 200 on formulae.brew.sh). Python is distributed as a formula, not a cask; a python cask would duplicate/conflict with core. The python.org installer (https://www.python.org/ftp/python/3.14.5/python-3.14.5-macos11.pkg, verified 200 pkg) is real but not a cask candidate -> review (homebrew-core formula provides this).
scribe-desktop	review		med	"Current Scribe Desktop by Scribehow is bundle com.scribehow.ScribeDesktop at v5.12.17 and is distributed via the Mac App Store / in-app workspace (MacUpdater shows only MAS). No verifiable public direct download. AutoPkg's old colony-labs S3 target serves a stale, unrelated Electron ""Scribe"" v0.5.8 (2022-04-07) whose dmg is now 403/gone (https://colony-labs-public.s3.us-east-2.amazonaws.com/latest-mac.yml still lists 0.5.8). No current versioned public URL -> review (MAS-only / no public direct download)."
sidebar	direct	sidebar | Sidebar | Adds a customizable shortcut bar to the menu bar and screen edge | dmg | direct | https://sidebarapp.net/ | url=https://download.sidebarapp.net/Sidebar {v}.dmg;vers=https://download.sidebarapp.net/appcast.xml;vregex=[0-9]+(\.[0-9]+)+	high	"Sparkle appcast https://download.sidebarapp.net/appcast.xml -> latest sparkle:shortVersionString 2.0.8, enclosure https://download.sidebarapp.net/Sidebar%202.0.8.dmg (verified 200, ~20.2MB, application/octet-stream). Filename = ""Sidebar {v}.dmg"" (space, brew URL-encodes to %20). Download host download.sidebarapp.net != homepage sidebarapp.net -> verified: auto-added. livecheck :sparkle on the appcast preferred (vers/vregex shown for the harness). Homepage https://sidebarapp.net/ (200)."
